"UID","Name","DOI","Citation","Rights","More Information","Data generalisations","Information withheld","Download limit","Number of Records in Download"
"dr1419","SNH Invertebrate Site Condition Monitoring 2015-16: Morrich More SSSI","doi:10.15468/tofgk4","Caledonian Conservation ([Insert download Year]). SNH Invertebrate Site Condition Monitoring 2015-16: Morrich More SSSI. Occurrence dataset on the NBN Atlas","Open Government Licence (OGL) CC-BY","For more information: email chris.cathrine@caledonianconservation.co.uk, or https://registry.nbnatlas.org/public/show/dr1419","","","","8"
"dr867","Suffolk Biodiversity Information Service (SBIS) Dataset","doi:10.15468/ab4vwo","Suffolk Biodiversity Information Service ([Insert download year]). Suffolk Biodiversity Information Service (SBIS) Dataset. Occurrence dataset on the NBN Atlas","Creative Commons, with Attribution, Non-commercial v4.0 (CC-BY-NC) CC-BY-NC","For more information: email martin.sanford@suffolk.gov.uk, or https://registry.nbnatlas.org/public/show/dr867","","","","2994"
"dr746","CPERC Combined Dataset","doi:10.15468/npthhv","Cambridgeshire & Peterborough Environmental Records Centre ([Insert download year]). CPERC Combined Dataset. Occurrence dataset on the NBN Atlas","Creative Commons, with Attribution, Non-commercial v4.0 (CC-BY-NC) CC-BY-NC","For more information: email data@cperc.org.uk, or https://registry.nbnatlas.org/public/show/dr746","","","","18"
"dp59","Argyll Biological Records Centre","","Records provided by Argyll Biological Records Centre, accessed through NBN Atlas website.","","For more information: email data@lnhg.org.uk, or https://registry.nbnatlas.org/public/show/dp59","","","","504"
"dp43","The Wildlife Information Centre","","Records provided by The Wildlife Information Centre, accessed through NBN Atlas website.","","For more information: email info@wildlifeinformation.co.uk, or https://registry.nbnatlas.org/public/show/dp43","","","","175"
"dp1","Buglife","","Records provided by Buglife, accessed through NBN Atlas website.","","For more information: email scotland@buglife.org.uk, or https://registry.nbnatlas.org/public/show/dp1","","","","264"
"dp0","Royal Society for the Protection of Birds","","Records provided by Royal Society for the Protection of Birds, accessed through NBN Atlas website.","","For more information: email Dataunit@rspb.org.uk, or https://registry.nbnatlas.org/public/show/dp0","","","","32"
"dp3","Outer Hebrides Biological Recording","","Records provided by Outer Hebrides Biological Recording, accessed through NBN Atlas website.","","For more information: email admin@ohbr.org.uk, or https://registry.nbnatlas.org/public/show/dp3","","","","285"
"dp2","Scottish Wildlife Trust","","Records provided by Scottish Wildlife Trust, accessed through NBN Atlas website.","","For more information: email datarequests@scottishwildlifetrust.org.uk, or https://registry.nbnatlas.org/public/show/dp2","","","","386"
"dp4","Caledonian Conservation","","Records provided by Caledonian Conservation, accessed through NBN Atlas website.","","For more information: email info@caledonianconservation.co.uk, or https://registry.nbnatlas.org/public/show/dp4","","","","576"
"dp7","Highland Biological Recording Group","","Records provided by Highland Biological Recording Group, accessed through NBN Atlas website.","","For more information: email info@hbrg.org.uk, or https://registry.nbnatlas.org/public/show/dp7","","","","4386"
"dr1381","SNH Invertebrate Site Condition Monitoring 2015-16: Den of Airlie SSSI","doi:10.15468/iorelw","Caledonian Conservation ([Insert download year]). SNH Invertebrate Site Condition Monitoring 2015-16: Den of Airlie SSSI. Occurrence dataset on the NBN Atlas","Open Government Licence (OGL) CC-BY","For more information: email chris.cathrine@caledonianconservation.co.uk, or https://registry.nbnatlas.org/public/show/dr1381","","","","1"
"dr1386","NE Scotland other invertebrate records 1800-2010","doi:10.15468/ifjfxz","North East Scotland Biological Records Centre ([Insert download year]). NE Scotland other invertebrate records 1800-2010. Occurrence dataset on the NBN Atlas","Creative Commons, with Attribution, Non-commercial v4.0 (CC-BY-NC) CC-BY-NC","For more information: email nesbrec@aberdeenshire.gov.uk, or https://registry.nbnatlas.org/public/show/dr1386","","","","380"
"dr2079","Manx Biological Recording Partnership VERIFIED Isle of Man records between 14/02/2017 and 05/09/2019","10.15468/dudjqq","Manx Biological Recording Partnership (2019). Isle of Man verified records between 14/02/2017 and 05/09/2019","Creative Commons, with Attribution, Non-commercial v4.0 (CC-BY-NC) Please acknowledge the Manx Biological Recording Partnership,  https://isleofman.nbnatlas.org/","For more information:  https://registry.nbnatlas.org/public/show/dr2079","","","","15"
"dr1420","Miscellaneous records held on the Cofnod database","doi:10.15468/hcgqsi","Cofnod ([Insert download year]). Miscellaneous records held on the Cofnod database. Occurrence dataset on the NBN Atlas","Creative Commons, with Attribution, Non-commercial v4.0 (CC-BY-NC) CC-BY-NC","For more information: email record@cofnod.org.uk, or https://registry.nbnatlas.org/public/show/dr1420","","","","242"
"dr2199","Lothian Wildlife Information Centre surveys (Invertebrates - general)","10.15468/raxra9","Lothian Wildlife Information Centre surveys (Invertebrates - general), TWIC (2020)","Creative Commons, with Attribution, Non-commercial v4.0 (CC-BY-NC)","For more information:  https://registry.nbnatlas.org/public/show/dr2199","","","","137"
"dp154","NatureSpot","","Records provided by NatureSpot, accessed through NBN Atlas website.","","For more information: email info@naturespot.org.uk, or https://registry.nbnatlas.org/public/show/dp154","","","","422"
"dr1786","Montgomeryshire Wildlife Trust records held by BIS","doi:10.15468/vozyfp","BIS for Powys and Brecon Beacons National Park ([Insert download year]). Mongomeryshire Wildlife Trust records held by BIS. Occurrence dataset on the NBN Atlas","Creative Commons, with Attribution, Non-commercial v4.0 (CC-BY-NC)","For more information:  https://registry.nbnatlas.org/public/show/dr1786","","","","26"
"dr1787","Radnorshire Wildlife Trust records held by BIS","doi:10.15468/hxqokw","BIS for Powys and Brecon Beacons National Park ([Insert download year]). Radnorshire Wildlife Trust records held by BIS. Occurrence dataset on the NBN Atlas","Creative Commons, with Attribution, Non-commercial v4.0 (CC-BY-NC)","For more information:  https://registry.nbnatlas.org/public/show/dr1787","","","","11"
"dr1941","Northern Ireland Environment Agency (NIEA) Collated Species Records","10.15468/gefbqb","Northern Ireland Environment Agency (NIEA) Collated Species Records, CEDaR (2019)","Open Government Licence (OGL)","For more information:  https://registry.nbnatlas.org/public/show/dr1941","","","","30"
"dp156","Leicestershire and Rutland Environmental Records Centre","","Records provided by Leicestershire and Rutland Environmental Records Centre, accessed through NBN Atlas website.","","For more information: email LRERC@leics.gov.uk, or https://registry.nbnatlas.org/public/show/dp156","","","","1186"
"dr1784","Miscellaneous records held by BIS","doi:10.15468/mo7peo","BIS for Powys and Brecon Beacons National Park ([Insert download year]). Miscellaneous records held by BIS. Occurrence dataset on the NBN Atlas","Creative Commons, with Attribution, Non-commercial v4.0 (CC-BY-NC)","For more information:  https://registry.nbnatlas.org/public/show/dr1784","","","","166"
"dr851","Merseyside BioBank (verified)","doi:10.15468/ar0p6s","Merseyside BioBank (2020) www.merseysidebiobank.org.uk","Creative Commons, with Attribution, Non-commercial v4.0 (CC-BY-NC) CC-BY-NC","For more information: email Info@MerseysideBioBank.org.uk, or https://registry.nbnatlas.org/public/show/dr851","","","","19"
"dr334","SNH Invertebrate Site Condition Monitoring 2013/14: Glenmore Forest SSSI","doi:10.15468/dybxls","Caledonian Conservation Ltd","Open Government Licence (OGL) CC-BY","For more information: email chris.cathrine@caledonianconservation.co.uk, or https://registry.nbnatlas.org/public/show/dr334","","","","111"
"dr1785","Brecknock Wildlife Trust (Now WTSWW Brecknockhire) records held by BIS","doi:10.15468/hd7pvq","BIS for Powys and Brecon Beacons National Park ([Insert download year]). Brecknock Wildlife Trust (Now WTSWW Brecknockhire) records held by BIS. Occurrence dataset on the NBN Atlas","Creative Commons, with Attribution, Non-commercial v4.0 (CC-BY-NC)","For more information:  https://registry.nbnatlas.org/public/show/dr1785","","","","4"
"dp150","Nottinghamshire Biological and Geological Records Centre","","Records provided by Nottinghamshire Biological and Geological Records Centre, accessed through NBN Atlas website.","","For more information: email nbgrcg@nottinghamcity.gov.uk, or https://registry.nbnatlas.org/public/show/dp150","","","","307"
"dr692","Norfolk and Suffolk Broads Invertebrate Data 2007-2008","doi:10.15468/uloykk","Natural England ([Insert download year]). Norfolk and Suffolk Broads Invertebrate Data 2007-2008. Occurrence dataset on the NBN Atlas","Open Government Licence (OGL) OGL","For more information:  https://registry.nbnatlas.org/public/show/dr692","","","","3"
"dr330","SNH Invertebrate Site Condition Monitoring 2013/14: Cairngorms SSSI","doi:10.15468/v69w8a","Caledonian Conservation Ltd","Open Government Licence (OGL) OGL","For more information: email chris.cathrine@caledonianconservation.co.uk, or https://registry.nbnatlas.org/public/show/dr330","","","","10"
"dr858","City of Edinburgh Natural Heritage Service - Ranger Ad-hoc records and sightings","doi:10.15468/ealk6c","The Wildlife Information Centre ([Insert download year]). City of Edinburgh Natural Heritage Service - Ranger Ad-hoc records and sightings. Occurrence dataset on the NBN Atlas","Open Government Licence (OGL) OGL","For more information: email admin@wildlifeinformation.co.uk, or https://registry.nbnatlas.org/public/show/dr858","","","","2"
"dr856","City of Edinburgh Natural Heritage Service - Historical Records","doi:10.15468/zwsdui","The Wildlife Information Centre ([Insert download year]).  City of Edinburgh Natural Heritage Service - Historical Records. Occurrence dataset on the NBN Atlas","Open Government Licence (OGL) OGL","For more information: email admin@wildlifeinformation.co.uk, or https://registry.nbnatlas.org/public/show/dr856","","","","13"
"dr855","All taxa records for Leicestershire and Rutland","doi:10.15468/i46are","Records provided by All taxa records for Leicestershire and Rutland, accessed through NBN Atlas website.","Creative Commons with Attribution 4.0 (CC-BY) CC BY
      		Creative Commons Attribution","For more information:  https://registry.nbnatlas.org/public/show/dr855","","","","422"
"dp77","Biological Records Centre","","Records provided by Biological Records Centre, accessed through NBN Atlas website.","","For more information: email brc@ceh.ac.uk, or https://registry.nbnatlas.org/public/show/dp77","","","","10025"
"dp191","Sussex Biodiversity Record Centre","","Records provided by Sussex Biodiversity Record Centre, accessed through NBN Atlas website.","","For more information:  https://registry.nbnatlas.org/public/show/dp191","","","","81"
"dr1790","Trevor and Dilys Pendleton Eakring and Nottinghamshire Invertebrate Records","","Nottinghamshire Biological and Geological Records Centre ([Insert download year]). Trevor and Dilys Pendleton Eakring and Nottinghamshire Invertebrate Records. Occurrence dataset on the NBN Atlas","Creative Commons, with Attribution, Non-commercial v4.0 (CC-BY-NC)","For more information:  https://registry.nbnatlas.org/public/show/dr1790","","","","307"
"dr1271","SNH Invertebrate Site Condition Monitoring 2015-16: Culbin Sands, Culbin Forest and Findhorn Bay SSSI","doi:10.15468/bg1iit","Caledonian Conservation ([Insert download year]). SNH Invertebrate Site Condition Monitoring 2015-16: Culbin Sands, Culbin Forest and Findhorn Bay SSSI. Occurrence dataset on the NBN Atlas","Open Government Licence (OGL) CC-BY","For more information: email chris.cathrine@caledonianconservation.co.uk, or https://registry.nbnatlas.org/public/show/dr1271","","","","19"
"dr2486","Woodmeadow Invertebrate Survey 2019","10.15468/tnp8ek","Woodmeadow Trust ([Insert year of download]). Woodmeadow Invertebrate Survey 2019. Occurrence dataset on the NBN Atlas","Creative Commons with Attribution 4.0 (CC-BY)","For more information:  https://registry.nbnatlas.org/public/show/dr2486","","","","29"
"dr1155","Natural Resources Wales Regional Data : Mid-Wales","doi:10.15468/whj6d7","BIS for Powys & Brecon Beacons National Park ([Insert download year]). Natural Resources Wales Regional Data : Mid-Wales. Occurrence dataset on the NBN Atlas","Open Government Licence (OGL) OGL","For more information:  https://registry.nbnatlas.org/public/show/dr1155","","Additional information is available from BIS – www.bis.org.uk. This dataset contains sensitive species records which may only be made available at full resolution under licence to approved individuals and organisations following a request to BIS. It is provided under strict confidentiality terms.","","4"
"dr2249","NBMP Sunset-Sunrise Survey","10.15468/brmbw2","National Bat Monitoring Programme [date accessed] Sunset/Sunrise Survey, Bat Conservation Trust.","Open Government Licence (OGL) OGL
      		Open Government Licence","For more information:  https://registry.nbnatlas.org/public/show/dr2249","","","","1"
"dp101","Cambridgeshire & Peterborough Environmental Records Centre","","Records provided by Cambridgeshire & Peterborough Environmental Records Centre, accessed through NBN Atlas website.","","For more information: email data@cperc.org.uk, or https://registry.nbnatlas.org/public/show/dp101","","","","18"
"dr1312","Stackpole National Nature Reserve Species Inventory and Ad-hoc Sightings from Across Pembrokeshire","doi:10.15468/k6hvb8","Natural Resources Wales.  ([Insert year of download])  Stackpole National Nature Reserve Species Inventory and Ad-hoc Sightings from Across Pembrokeshire. Occurrence dataset accessed through the NBNAtlas","Open Government Licence (OGL) © CNC/NRW
Data may be re-used under the terms of the Open Government Licence providing it is done so, acknowledging both the source and NRW's copyright. It is the recipient's responsibility to ensure the data is fit for the intended purpose.

Attribution statement: Contains Natural Resources Wales information © Natural Resources Wales and Database Right. All rights Reserved.","For more information:  https://registry.nbnatlas.org/public/show/dr1312","","","","302"
"dp186","West Wales Biodiversity Information Centre","","Records provided by West Wales Biodiversity Information Centre, accessed through NBN Atlas website.","","For more information:  https://registry.nbnatlas.org/public/show/dp186","","","","179"
"dr1954","CEDaR Online Recording","10.15468/ke4kw8","Records provided by CEDaR Online Recording, accessed through NBN Atlas website.","Creative Commons with Attribution 4.0 (CC-BY) CC BY
      		Creative Commons Attribution","For more information:  https://registry.nbnatlas.org/public/show/dr1954","","","","69"
"dp107","Bristol Regional Environmental Records Centre","","Records provided by Bristol Regional Environmental Records Centre, accessed through NBN Atlas website.","","For more information: email dataenquiries@brerc.org.uk, or https://registry.nbnatlas.org/public/show/dp107","","","","706"
"dp109","Lancashire Environment Record Network","","Records provided by Lancashire Environment Record Network, accessed through NBN Atlas website.","","For more information: email lern@lancashire.gov.uk, or https://registry.nbnatlas.org/public/show/dp109","","","","120"
"dp103","Dorset Environmental Records Centre","","Records provided by Dorset Environmental Records Centre, accessed through NBN Atlas website.","","For more information: email Enquiries@derc.org.uk, or https://registry.nbnatlas.org/public/show/dp103","","","","33"
"dr766","Survey and monitoring records for Scottish Wildlife Trust reserves from reserve convenors and Trust volunteers - Verified data","doi:10.15468/yyd4b9","Scottish Wildlife Trust ([Insert download year]). Survey and monitoring records for Scottish Wildlife Trust reserves from reserve convenors and Trust volunteers - Verified data. Occurrence dataset on the NBN Atlas","Creative Commons with Attribution 4.0 (CC-BY) CC-BY","For more information: email rsiller@scottishwildlifetrust.org.uk, or https://registry.nbnatlas.org/public/show/dr766","","","","28"
"dr765","Commissioned surveys and staff surveys and reports for Scottish Wildlife Trust reserves - Verified data","doi:10.15468/a6snhl","Scottish Wildlife Trust ([Insert download year]). Commissioned surveys and staff surveys and reports for Scottish Wildlife Trust reserves - Verified data. Occurrence dataset on the NBN Atlas","Creative Commons with Attribution 4.0 (CC-BY) CC-BY","For more information: email rsiller@scottishwildlifetrust.org.uk, or https://registry.nbnatlas.org/public/show/dr765","","","","95"
"dr922","TWIC Biodiversity Field Trip Data (1995-present)","doi:10.15468/ljc0ke","The Wildlife Information Centre ([Insert download year]). TWIC Biodiversity Field Trip Data (1995-present). Occurrence dataset on the NBN Atlas","Creative Commons, with Attribution, Non-commercial v4.0 (CC-BY-NC) CC-BY-NC","For more information: email admin@wildlifeinformation.co.uk, or https://registry.nbnatlas.org/public/show/dr922","","","","4"
"dr2494","2017 Onwards Rare Invertebrates in the Cairngorms Shining Guest Ant Survey Data","10.15468/hp5jau","RSPB ([Insert download year]). 2017 Onwards Rare Invertebrates in the Cairngorms Shining Guest Ant Survey Data. Occurrence dataset on the NBN Atlas","Creative Commons with Attribution 4.0 (CC-BY) Please acknowledge the Rare Invertebrates in the Cairngorms partnership project in any use of this data.","For more information:  https://registry.nbnatlas.org/public/show/dr2494","","","","11"
"dr2010","TWIC Site Surveys (2010 - present)","10.15468/qscd9y","TWIC Site Surveys (2010 - present) (2020)","Creative Commons, with Attribution, Non-commercial v4.0 (CC-BY-NC)","For more information:  https://registry.nbnatlas.org/public/show/dr2010","","","","2"
"dr2096","Sheffield and Rotherham Wildlife Trust - Records","10.15468/x3wdpp","Data supplied by Sheffield and Rotherham Wildlife Trust","Creative Commons, with Attribution, Non-commercial v4.0 (CC-BY-NC) CC BY-NC
      		Creative Commons Attribution Non-Commercial","For more information: email mail@wildsheffield.com, or https://registry.nbnatlas.org/public/show/dr2096","","","","5"
"dr1287","NRW Regional Data: all taxa (excluding sensitive species), West Wales","doi:10.15468/q3d1hl","West Wales Biodiversity Information Centre ([Insert download year]). NRW Regional Data: all taxa (excluding sensitive species), West Wales. Occurrence dataset on the NBN Atlas","Open Government Licence (OGL) OGL","For more information: email Kate.jones@wwbic.org.uk, or https://registry.nbnatlas.org/public/show/dr1287","","","","98"
"dr2498","Dipterists Forum: Field Week 2017 (Snowdonia)","10.15468/u77728","Dipterists Forum ([Insert download year]). Dipterists Forum: Field Week 2017 (Snowdonia). Occurrence dataset on the NBN Atlas","Creative Commons, with Attribution, Non-commercial v4.0 (CC-BY-NC)","For more information:  https://registry.nbnatlas.org/public/show/dr2498","","","","8"
"dr1164","LERN Records","doi:10.15468/esxc9a","Lancashire Environment Record Network ([Insert download year]). LERN Records. Occurrence dataset on the NBN Atlas","Creative Commons, with Attribution, Non-commercial v4.0 (CC-BY-NC) CC-BY-NC","For more information: email lern@lancashire.gov.uk, or https://registry.nbnatlas.org/public/show/dr1164","","","","120"
"dr1687","Woodmeadow Invertebrate Survey 2016","10.15468/1epq4f","Records provided by Woodmeadow Invertebrate Survey 2016, accessed through NBN Atlas website.","Creative Commons, with Attribution, Non-commercial v4.0 (CC-BY-NC)","For more information:  https://registry.nbnatlas.org/public/show/dr1687","Additional (and more detailed) information about the data can be found at https://www.woodmeadowtrust.org.uk/home","","","22"
"dr355","SNH Invertebrate Site Condition Monitoring 2013/14: Flanders Moss SSSI","doi:10.15468/tehqjr","Caledonian Conservation Ltd","Open Government Licence (OGL) CC-BY","For more information: email chris.cathrine@caledonianconservation.co.uk, or https://registry.nbnatlas.org/public/show/dr355","","","","6"
"dp177","Rotherham Biological Records Centre","","Records provided by Rotherham Biological Records Centre, accessed through NBN Atlas website.","","For more information:  https://registry.nbnatlas.org/public/show/dp177","","","","1209"
"dr1842","iRecord Surveys","doi:10.15468/i7x5ca","Natural England iRecord Surveys ([year of download])","Open Government Licence (OGL) OGL 
      		Open Government Licence (OGL 3.0)","For more information:  https://registry.nbnatlas.org/public/show/dr1842","","","","111"
"dr1325","SNH Invertebrate Site Condition Monitoring of Invertebrate Assemblages at ten SSSIs, 2011-12","doi:10.15468/rraqic","Caledonian Conservation ([Insert download year]). SNH Invertebrate Site Condition Monitoring of Invertebrate Assemblages at ten SSSIs, 2011-12. Occurrence dataset on the NBN Atlas","Open Government Licence (OGL) CC-BY","For more information: email chris.cathrine@caledonianconservation.co.uk, or https://registry.nbnatlas.org/public/show/dr1325","","","","3"
"dr1685","Woodmeadow Invertebrate Survey 2014","10.15468/iqu35i","Woodmeadow True ([Insert download year]). Woodmeadow Invertebrate Survey 2014. Occurrence dataset on the NBN Atlas","Creative Commons with Attribution 4.0 (CC-BY)","For more information:  https://registry.nbnatlas.org/public/show/dr1685","","Additional (and more detailed) information about the data can be found at: https://www.woodmeadowtrust.org.uk/home","","14"
"dr1686","Woodmeadow Invertebrate Survey 2015","10.15468/zyqxsa","Records provided by Woodmeadow Invertebrate Survey 2015, accessed through NBN Atlas website.","Creative Commons, with Attribution, Non-commercial v4.0 (CC-BY-NC)","For more information:  https://registry.nbnatlas.org/public/show/dr1686","Additional (and more detailed) information about the data can be found at https://www.woodmeadowtrust.org.uk/home","","","9"
"dr356","SNH Invertebrate Site Condition Monitoring 2013/14: Lismore Lochs SSSI","doi:10.15468/f7ca1e","Caledonian Conservation Ltd","Open Government Licence (OGL) CC-BY","For more information: email chris.cathrine@caledonianconservation.co.uk, or https://registry.nbnatlas.org/public/show/dr356","","","","2"
"dp172","Dipterists Forum","","Records provided by Dipterists Forum, accessed through NBN Atlas website.","","For more information: email showersjohn@gmail.com, or https://registry.nbnatlas.org/public/show/dp172","","","","8"
"dr1967","West Wales Online Records","","West Wales Biodiversity Information Centre ([Insert year of download]). West Wales Online Records. Occurrence dataset on the NBN Atlas","Creative Commons, with Attribution, Non-commercial v4.0 (CC-BY-NC)","For more information:  https://registry.nbnatlas.org/public/show/dr1967","","","","4"
"dr914","St Andrews BioBlitz 2015","10.15468/xtrbvy","Fife Nature Records Centre ([Insert download year]). St Andrews BioBlitz 2015. Occurrence dataset on the NBN Atlas","Creative Commons, with Attribution, Non-commercial v4.0 (CC-BY-NC) CC-BY-NC","For more information: email nature.info@fife.gov.uk, or https://registry.nbnatlas.org/public/show/dr914","","","","1"
"dr755","NBIS Records to December 2016","doi:10.15468/jca5lo","Norfolk Biodiversity Information Service ([Insert download year]). NBIS Records to December 2016. Occurrence dataset on the NBN Atlas","Creative Commons, with Attribution, Non-commercial v4.0 (CC-BY-NC) CC-BY-NC","For more information: email nbis@norfolk.gov.uk, or https://registry.nbnatlas.org/public/show/dr755","","","","7276"
"dr875","HBRG P.F. Entwistle Colln and Notebooks Dataset","doi:10.15468/fmcwyl","Highland Biological Recording Group ([Insert year of download]). HBRG P.F. Entwistle Colln and Notebooks Dataset","Creative Commons with Attribution 4.0 (CC-BY) CC-BY","For more information:  https://registry.nbnatlas.org/public/show/dr875","","","","14"
"dr239","Ants: Formica Exsecta Records (Scotland)","doi:10.15468/6mm6ky","Scottish Wildlife Trust ([Insert download year]). Ants: Formica Exsecta Records (Scotland). Occurrence dataset on the NBN Atlas","Creative Commons with Attribution 4.0 (CC-BY) CC-BY","For more information: email rsiller@scottishwildlifetrust.org.uk, or https://registry.nbnatlas.org/public/show/dr239","","","","263"
"dp96","BIS for Powys & Brecon Beacons National Park","","Records provided by BIS for Powys & Brecon Beacons National Park, accessed through NBN Atlas website.","","For more information: email info@bis.org.uk, or https://registry.nbnatlas.org/public/show/dp96","","","","211"
"dr1294","Urban Roots Malls Mire Invertebrate Records 2014","doi:10.15468/kpl3zg","Caledonian Conservation ([Insert download year]). Urban Roots Malls Mire Invertebrate Records 2014. Occurrence dataset on the NBN Atlas","Creative Commons with Attribution 4.0 (CC-BY) CC-BY","For more information: email chris.cathrine@caledonianconservation.co.uk, or https://registry.nbnatlas.org/public/show/dr1294","","","","38"
"dr2140","Bee, wasp and ant (Hymenoptera: Aculeata) records verified via iRecord","10.15468/idirhy","Biological Records Centre. [Date downloaded]. Bee, wasp and ant (Hymenoptera: Aculeata) records verified via iRecord.","Creative Commons with Attribution 4.0 (CC-BY) CC BY
      		Creative Commons Attribution","For more information:  https://registry.nbnatlas.org/public/show/dr2140","","","","10021"
